FromNode,ToNode,Period,TransmissionInitialCapacity
Switzerland,Austria,1,835.0
CzechR,Austria,1,650.0
Germany,Austria,1,1900.0
Hungary,Austria,1,425.0
Italy,Austria,1,152.5
Slovenia,Austria,1,650.0
Croatia,BosniaH,1,615.0
Serbia,BosniaH,1,390.0
France,Belgium,1,2700.0
Luxemb.,Belgium,1,1000.0
Netherlands,Belgium,1,2400.0
Greece,Bulgaria,1,550.0
Macedonia,Bulgaria,1,400.0
Romania,Bulgaria,1,750.0
Serbia,Bulgaria,1,475.0
Germany,Switzerland,1,3500.0
France,Switzerland,1,2750.0
Italy,Switzerland,1,3025.0
Germany,CzechR,1,1525.0
Poland,CzechR,1,800.0
Slovakia,CzechR,1,2100.0
Denmark,Germany,1,1500.0
France,Germany,1,2825.0
Luxemb.,Germany,1,980.0
Netherlands,Germany,1,3425.0
Poland,Germany,1,1150.0
Sweden,Germany,1,600.0
Sweden,Denmark,1,2210.0
Finland,Estonia,1,1000.0
Latvia,Estonia,1,750.0
France,Spain,1,950.0
Portugal,Spain,1,1250.0
Sweden,Finland,1,1800.0
GreatBrit.,France,1,2000.0
Italy,France,1,1822.5
Ireland,GreatBrit.,1,410.0
Italy,Greece,1,500.0
Macedonia,Greece,1,300.0
Hungary,Croatia,1,700.0
Serbia,Croatia,1,425.0
Slovenia,Croatia,1,900.0
Romania,Hungary,1,700.0
Serbia,Hungary,1,600.0
Slovakia,Hungary,1,800.0
Slovenia,Italy,1,295.0
Latvia,Lithuania,1,1400.0
Serbia,Macedonia,1,425.0
Sweden,Poland,1,350.0
Slovakia,Poland,1,500.0
Serbia,Romania,1,475.0
GreatBrit.,Belgium,1,0.0
Netherlands,GreatBrit.,1,1000.0
Sweden,Lithuania,1,0.0
Netherlands,Denmark,1,0.0
Poland,Lithuania,1,700.0
GreatBrit.,Denmark,1,1400.0
Italy,BosniaH,1,0.0
Italy,Croatia,1,0.0
Slovakia,Austria,1,0.0
Germany,Belgium,1,0.0
Italy,Germany,1,0.0
Poland,Denmark,1,0.0
Sweden,Estonia,1,0.0
Ireland,Spain,1,0.0
Ireland,France,1,0.0
Luxemb.,France,1,0.0
Poland,Hungary,1,0.0
Slovenia,Hungary,1,0.0
Sweden,Latvia,1,0.0
Switzerland,Austria,2,835.0
CzechR,Austria,2,650.0
Germany,Austria,2,1900.0
Hungary,Austria,2,425.0
Italy,Austria,2,152.5
Slovenia,Austria,2,650.0
Croatia,BosniaH,2,615.0
Serbia,BosniaH,2,390.0
France,Belgium,2,2700.0
Luxemb.,Belgium,2,1000.0
Netherlands,Belgium,2,2400.0
Greece,Bulgaria,2,550.0
Macedonia,Bulgaria,2,400.0
Romania,Bulgaria,2,750.0
Serbia,Bulgaria,2,475.0
Germany,Switzerland,2,3500.0
France,Switzerland,2,2750.0
Italy,Switzerland,2,3025.0
Germany,CzechR,2,1525.0
Poland,CzechR,2,800.0
Slovakia,CzechR,2,2100.0
Denmark,Germany,2,1500.0
France,Germany,2,2825.0
Luxemb.,Germany,2,980.0
Netherlands,Germany,2,3425.0
Poland,Germany,2,1150.0
Sweden,Germany,2,600.0
Sweden,Denmark,2,2210.0
Finland,Estonia,2,1000.0
Latvia,Estonia,2,750.0
France,Spain,2,950.0
Portugal,Spain,2,1250.0
Sweden,Finland,2,1800.0
GreatBrit.,France,2,2000.0
