NodeFrom,NodeTo
Switzerland,Austria
CzechR,Austria
Germany,Austria
Hungary,Austria
Italy,Austria
Slovenia,Austria
Slovakia,Austria
Croatia,BosniaH
Italy,BosniaH
Serbia,BosniaH
Germany,Belgium
France,Belgium
GreatBrit.,Belgium
Luxemb.,Belgium
Netherlands,Belgium
NO2,Belgium
Greece,Bulgaria
Macedonia,Bulgaria
Romania,Bulgaria
Serbia,Bulgaria
Austria,Switzerland
Germany,Switzerland
France,Switzerland
Italy,Switzerland
Austria,CzechR
Germany,CzechR
Poland,CzechR
Slovakia,CzechR
Austria,Germany
Belgium,Germany
Switzerland,Germany
CzechR,Germany
Denmark,Germany
France,Germany
Italy,Germany
Luxemb.,Germany
Netherlands,Germany
NO2,Germany
Poland,Germany
Sweden,Germany
Germany,Denmark
GreatBrit.,Denmark
Netherlands,Denmark
NO2,Denmark
Poland,Denmark
Sweden,Denmark
Finland,Estonia
Latvia,Estonia
Sweden,Estonia
France,Spain
Ireland,Spain
Portugal,Spain
Estonia,Finland
NO4,Finland
Sweden,Finland
Belgium,France
Switzerland,France
Germany,France
Spain,France
GreatBrit.,France
Ireland,France
Italy,France
Luxemb.,France
Belgium,GreatBrit.
Denmark,GreatBrit.
France,GreatBrit.
Ireland,GreatBrit.
Netherlands,GreatBrit.
NO2,GreatBrit.
NO5,GreatBrit.
Bulgaria,Greece
Italy,Greece
Macedonia,Greece
BosniaH,Croatia
Hungary,Croatia
Italy,Croatia
Serbia,Croatia
Slovenia,Croatia
Austria,Hungary
Croatia,Hungary
Poland,Hungary
Romania,Hungary
Serbia,Hungary
Slovenia,Hungary
Slovakia,Hungary
Spain,Ireland
France,Ireland
GreatBrit.,Ireland
Austria,Italy
BosniaH,Italy
Switzerland,Italy
Germany,Italy
France,Italy
Greece,Italy
Croatia,Italy
Slovenia,Italy
Latvia,Lithuania
Poland,Lithuania
Sweden,Lithuania
Belgium,Luxemb.
Germany,Luxemb.
France,Luxemb.
Estonia,Latvia
Lithuania,Latvia
Sweden,Latvia
Bulgaria,Macedonia
Greece,Macedonia
Serbia,Macedonia
Belgium,Netherlands
Germany,Netherlands
Denmark,Netherlands
GreatBrit.,Netherlands
NO2,Netherlands
NO2,NO1
NO3,NO1
NO5,NO1
Sweden,NO1
Belgium,NO2
Germany,NO2
Denmark,NO2
GreatBrit.,NO2
Netherlands,NO2
NO1,NO2
NO5,NO2
NO1,NO3
NO4,NO3
NO5,NO3
Sweden,NO3
Finland,NO4
NO3,NO4
Sweden,NO4
NO1,NO5
NO2,NO5
NO3,NO5
GreatBrit.,NO5
CzechR,Poland
Germany,Poland
Denmark,Poland
Hungary,Poland
Lithuania,Poland
Sweden,Poland
Slovakia,Poland
Spain,Portugal
Bulgaria,Romania
Hungary,Romania
Serbia,Romania
BosniaH,Serbia
Bulgaria,Serbia
Croatia,Serbia
Hungary,Serbia
Macedonia,Serbia
Romania,Serbia
Germany,Sweden
Denmark,Sweden
Estonia,Sweden
Finland,Sweden
Lithuania,Sweden
Latvia,Sweden
NO1,Sweden
NO3,Sweden
NO4,Sweden
Poland,Sweden
Austria,Slovenia
Croatia,Slovenia
Hungary,Slovenia
Italy,Slovenia
Austria,Slovakia
CzechR,Slovakia
Hungary,Slovakia
Poland,Slovakia
